,HEIGHT,WIDTH,NUM_TRAPS,NUM_GOALS,PATH_NOISE_PROB,BLIND_SWITCH_PROB
152,12,16,8,4,0.159851,0.215092
153,11,22,14,5,0.352367,0.016295
154,10,29,21,3,0.172119,0.058705
155,19,24,29,1,0.104410,0.044714
156,10,12,11,1,0.213310,0.199953
157,11,16,23,2,0.040576,0.044067
158,24,31,20,4,0.095173,0.210443
159,19,25,10,5,0.453221,0.241395
160,15,10,10,3,0.468128,0.068703
161,18,27,16,4,0.038756,0.243945
162,25,23,24,5,0.352266,0.134319
163,17,30,16,3,0.467322,0.193036
164,22,19,25,4,0.037671,0.177694
165,30,15,14,1,0.025067,0.204105
166,20,28,27,4,0.420576,0.092367
167,30,21,13,1,0.118110,0.242382
168,16,13,20,2,0.221053,0.139951
169,11,11,25,1,0.050311,0.159928
170,28,24,14,2,0.315460,0.061217
171,19,28,13,4,0.224136,0.142131
172,21,13,27,5,0.322322,0.161258
173,29,16,25,1,0.043131,0.231545
174,26,22,27,4,0.118914,0.239738
175,27,27,26,3,0.387399,0.100369
176,25,22,27,1,0.006024,0.194039
177,15,16,14,3,0.155821,0.225409
178,17,20,30,5,0.044018,0.003461
179,29,30,24,4,0.083189,0.205320
180,12,14,22,2,0.202802,0.067221
181,24,12,13,1,0.428053,0.188482
182,28,22,13,3,0.016452,0.146032
183,14,27,25,2,0.363401,0.232215
184,22,16,27,2,0.135465,0.156463
185,19,26,17,1,0.471310,0.247515
186,27,18,14,4,0.054464,0.217042
187,20,30,15,3,0.438768,0.183058
188,26,14,14,3,0.342929,0.190245
189,20,24,11,4,0.279232,0.108010
190,22,21,10,2,0.450059,0.088540
191,31,25,23,4,0.465231,0.216278
192,16,10,19,5,0.294975,0.246818
193,27,28,13,2,0.402213,0.170797
194,25,11,31,5,0.055482,0.098425
195,14,23,11,4,0.106947,0.006523
196,29,28,26,2,0.308074,0.157260
197,12,22,21,5,0.127416,0.202136
198,13,26,31,1,0.321104,0.166806
199,12,13,31,1,0.024425,0.186383
200,11,24,8,2,0.055576,0.136721
201,15,24,22,3,0.038233,0.204356
202,20,26,31,4,0.048876,0.160157
203,19,26,15,1,0.385554,0.174999
204,15,21,18,5,0.142582,0.038664
205,18,23,26,2,0.123598,0.181651
206,20,29,18,2,0.076731,0.089223
207,10,13,12,1,0.307997,0.164127
208,25,21,25,3,0.431566,0.187857
209,20,27,12,1,0.490104,0.018214
210,23,30,17,4,0.358742,0.121228
211,11,31,31,5,0.121619,0.101977
212,28,13,13,1,0.310491,0.022397
213,10,19,27,5,0.386095,0.234596
214,23,30,28,1,0.179117,0.080294
215,12,25,15,1,0.085346,0.202157
216,10,12,8,2,0.356961,0.100312
217,18,26,13,2,0.240135,0.064413
218,18,31,27,5,0.039181,0.175870
219,14,30,15,2,0.316117,0.011412
220,17,14,21,2,0.012147,0.160705
221,13,12,24,1,0.255741,0.173186
222,22,28,28,2,0.340080,0.159738
223,22,21,23,3,0.134538,0.090010
224,17,30,9,5,0.313275,0.202131
225,19,10,28,4,0.017425,0.114366
226,11,27,22,1,0.042555,0.098105
227,29,10,21,5,0.424704,0.000607
228,17,16,17,1,0.102418,0.042962
229,30,24,23,5,0.057737,0.015569
230,15,22,23,2,0.088817,0.060326
231,17,26,12,2,0.288041,0.135599
232,13,11,10,2,0.193926,0.091286
233,16,28,20,1,0.085125,0.011447
234,23,23,27,3,0.283394,0.198195
235,19,31,20,4,0.283540,0.210992
236,22,21,28,4,0.283642,0.145181
237,30,21,8,3,0.254905,0.021288
238,30,16,29,2,0.314428,0.075193
239,20,25,12,2,0.425863,0.009911
240,22,31,24,1,0.285084,0.066773
241,11,16,24,5,0.181582,0.186565
242,20,27,22,1,0.185380,0.082793
243,23,10,22,1,0.441234,0.210042
244,24,31,10,4,0.360470,0.077840
245,31,12,15,3,0.254681,0.114500
246,29,23,15,3,0.172022,0.023500
247,26,11,31,4,0.226005,0.204236
248,13,10,30,4,0.082891,0.099807
249,11,24,27,5,0.211702,0.124094
